"Covidence #","Study ID","Peer-reviewed or Preprint","Journal","Database/Study ID","Date of Publication (Month and Year)","Retrospective/Prospective","Study Design","Study Country/Countries","Study Start Date","Study End Date","Total study size (number of patients)","Primary Outcomes of Study","Secondary outcomes of study","Cancer Total number","Control (non-cancer) Total number","Explicitly included vaccinated patients","outcomes described","Definition of Cancer patient","Definition of severity","Definition of severe disease","Definition of ICU admission/Critical","Definition of mortality","Univariate or multivariate analysis?","Multivariate analysis is adjusted by","Comparison group","Comparator group matching strategy","Which COVID-19 variant does the study identify?","Cancer Age (measure of centre) e.g. mean/median","Cancer Age (centre)","Cancer Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Cancer Age (spread)","Control (non-cancer) Age (measure of centre) e.g. mean/median","Control (non-cancer) Age (centre)","Control (non-cancer) Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Control (non-cancer) Age (spread)","Cancer Sex (% male)","Control (non-cancer) Sex (% male)"
141173,"Alsakarneh 2024","Peer-reviewed","J. Clin. Med","TriNetX research network","2024-04","Retrospective","Cohort","United States","Not mentioned","2024-02-01","30832","SARS-CoV-2 infection","emergency room (ER) visits, hospitalization, or death, all-cause critical care admission, and all-cause intubation.","15416","15416","yes","Severity; Hospitalisation; ICU admission; Mortality","Aged 18 years and older; (b) had an  International Classification of Disease, Ninth Revision and Tenth Revision, Clinical  Modification (ICD-10-CM) code in their EHR for CRC; (c) had documented evidence of vaccination in their EHRs.","","","","","multivariate","Age; Sex","Same source/cohort","Propensity score matching 1:1 for the following variables: (a) demographic informa- tion (age, sex, race, and ethnicity) [22–24]; (b) social determinants of adverse health outcomes (SDHOs); (c) behavioral factors (tobacco smoking, alcohol abuse); (d) vaccine types; (e) cancer treatment types; and (f) comorbidities that are related to SARS-CoV-2 morbidity and mortality ","Not mentioned","Mean","69.6","SD","12.5","Mean","70.2","SD","12.2","51.4%","50.1%"
138896,"Li 2024","Peer-reviewed","BMC Pulmonary Medicine","multicenter retrospective observational cohort across 28 provinces in Chinese  mainland, involving 59 ICU","2024-10","Retrospective","Cohort","China","2022-11-01","2023-02-11","2030","ICU mortality","Secondary infection","77","1788","no","Mortality","Cancer patients were defined as individuals with active  malignancy or those diagnosed with malignancy within  one year of developing community-acquired pneumonia  (CAP), excluding localized skin cancers and early-stage cancer.","Severe COVID-19 was defined by any of the following criteria: (1) shortness of breath with a respiratory rate exceeding 30 breaths per minute; (2) pulse oxygen saturation of 93% or lower at rest; or (3) a partial pressure of oxygen to fraction of inspired oxygen ratio (PaO/FiO) of 300 mmHg or lower. ","Severe COVID-19 was defined by any of the following criteria: (1) shortness of breath with a respiratory rate exceeding 30 breaths per minute; (2) pulse oxygen saturation of 93% or lower at rest; or (3) a partial pressure of oxygen to fraction of inspired oxygen ratio (PaO/FiO) of 300 mmHg or lower. ","Critical COVID-19 was characterized by any of the following: (1) respiratory failure requiring invasive ventilation; (2) shock; or (3) organ failure that necessitated ICU  care ","ICU mortality was defined as the death of patients within the ICU, including those expected to die following the discontinuation of treatment. ","multivariate","Age; Other: APACHE II score","Same multicenter cohort","To compare outcomes, we performed a three-to-one pro pensity score (PS) matching analysis estimated by logistic regression to account for potential confounding factors.  Variables involved in the PS estimation included age and APACHE II score. Matching was based on the logit of the PS using nearest-neighbor matching (greedy-type matching) with a caliper width of 0.25. ","Omicron (B.1.1.529/BA.1)","Median","69","IQR","59-77","Median","76","IQR","68-84","74.0%","72.5%"
138865,"Evans 2023","Peer-reviewed","The Lancet Regional Health - Europe","INFORM study","2023-10","Retrospective","Cohort","United Kingdom","2022-01-01","2022-12-31","11990730","COVID-19-related hospitalisation","COVID-19-related ICU admission, COVID-19-related mortality","36120","11990730","yes","Hospitalisation; ICU admission; Mortality","Solid or haematologic malignancy on active treatment: solid tumour [s] or haematologic malignancies on treatment ≤6 months prior to 1 January 2022.","","","ICU admission within a hospitalisation episode with COVID-19 as the primary diagnosis","COVID-19-related mortality, defined as a death in ONS mortality data with COVID-19 recorded as a cause of death, or an in-hospital death during a COVID-19 hospitalisation","multivariate","Age; Sex; Comorbidities","General Population - same cohort.","Comparator group: random sample of 25% of all individuals aged ≥12 years, registered and active (i.e., legal residents) in the NHS-linked national datasets on 1 January 2022.","Omicron (B.1.1.529/BA.1)","","","","","mean","45.2","SD","20.7","","49.7%"
73804,"Starkey 2023","Peer-reviewed","Nature Scientific Reports","National Cancer Registry UK and National Immunisation Management Service (NIMS)","2023-07","Retrospective","Cohort","England","2020-11-01","2022-08-31","15928326","Hospitalisation, ICU, COVID-19 mortality","Hospital assessment","127322","15801004","yes","Hospitalisation; ICU admission; Mortality","1. All cancer types  2. On national cancer registry UK  3. Active treatment not stated ","Any of: hospital assessment, inpatient hospitalisation, intensive care  admission, COVID-19 mortality","","physical ICU admission (not just IMV)","SARS-COV-2-mortality","multivariate","Age; Sex; Other: age, sex, ethnicity and deprivation.","Same National Cohort (National Immunisation Management Service (NIMS) of the UK)","Not matched.","Other: ORs and base rates are given for each of the four outcomes for each two month period so could be used to generate these figures","","","","","","","","","50.48","43.05"
72854,"Konermann 2023","Peer-reviewed","Oncology Research and Treatment","ClinicalTrials.gov, NCT04659187","2023-02","Prospective","Cohort","Germany","2020-03-11; 2020-03-11 (WT to Delta); 2022-01-01 (Omicron)","2022-07-20; 2022-01-01 (WT to Delta); 2022-07-20 (Omicron)","26425","""Survival status at discharge from hospital is the primary end-point of the investigation."" ","""Additionally, we differentiated patients with solid and hematological malignancies with regard to the primary endpoint.""","1513","24912","no","Mortality","1. All cancer types, 2. Active diagnosis of cancer with ICD-10 codes C00-C97, 3. No statement on treatment ","Mechanical ventilation (intubation)","","","Death in-hospital","multivariate","Sex; Comorbidities","Same country, but involved multiple centers across Germany","Not matched","Wild Type (Ancestral/Wu-1); Delta (B.1.617.2); Omicron (B.1.1.529/BA.1)","Active Cancer/ WT-D; Active Cancer/Omicron  Median","75; 74","IQR","65 - 82; 64 - 81","No Cancer/WT-D; No Cancer/Omicron  Median","70; 72","IQR","54 - 82; 53 - 83","58; 62","52; 49"
140255,"Park 2024","Peer-reviewed","J Korean Med Sci","Korean Disease Control and Prevention Agency-COVID19-National  Health Insurance Service (K-COV-N) cohort","2023-11","Retrospective","Cohort","South Korea","2020-01-01","2022-03-31","3858035","Mortality","Severity","397,050","397,050","yes","Severity; Hospitalisation; Mortality","Time since cancer diagnosis was defined as the period from the date of cancer diagnosis to the date of COVID-19 diagnosis. *active cancer* up to 1 year. Cancer survivor was defined as a patient who had survived ≥ 5 years since the diagnosis of cancer","Severity as ambulatory state, hospitalization with mild state, or hospitalization with severe state using the COVID-19 severity scale by the World Health Organization. Hospitalization with mild state included no oxygen therapy or oxygen delivered using mask or nasal prongs. ","Hospitalization with severe state included noninvasive ventilation, high-flow oxygen, intubation and mechanical ventilation, as well as ventilation combined with additional organ support such as dialysis and extracorporeal membrane oxygenation.","N/A","Not stated.","multivariate","Age; Sex; Comorbidities; Other: vaccination against COVID-19, household income, and Charlson Comorbidity Index","Same cohort","After 1:1 propensity score matching, 397,050 patients with cancer and 397,050 patients without cancer were enrolled in the main analysis. We used the nearest available matching (1:1) method to estimate the propensity score using a caliper of 0.25. Balance was assessed by a standardized mean difference of < 0.1  after matching.","Not mentioned","","","","","","","","","42.2","44.6"
71628,"Turtle 2023","Peer-reviewed","PLOS Medicine"," ISARIC WHO Clinical Characterisation Protocol UK prospective observational cohort study (ISARIC4C)","2023-01","Prospective","Cohort","United Kingdom","2020-01-17; 2020-01-17 (wave 1/D614G); 2020-09-01 (wave 2/Alpha); 2021-04-01 (wave 3/Delta); 2021-12-13 (wave 4/Omicron)","2022-02-28; 2020-08-31 (wave 1/D614G); 2021-03-31 (wave 2/Alpha); 2021-12-12 (wave 3/Delta); 2022-02-28 (wave 4/Omicron)","139714","In-hospital mortality ","4C mortality score - illness severity at presentation until 28 days after admission   In-hospital interventions: Use of oxygen  Noninvasive ventilation  Invasive mechanical ventilation  Admission to critical care ","5116","134598","yes","Severity; ICU admission; Mortality","All Types Cancer; ""Active cancer diagnosis""; on active treatment","4C Mortality Score","Non-invasive or invasive ventilation required, 4C mortality score (respiratory rate (breaths per min), Glasgow Coma Scale, oxygen saturation (%), blood urea (mmol/L), blood C-reactive protein (CRP, mg/L)","Critical care admission ","28 day mortality; all cause","multivariate","Age; Sex; Comorbidities; Other: Ethnicity, deprivation index, vaccination, ","Drawn from the same multinational cohort  Includes patients with a 'history of malignant neoplasm'","No matching; No matching ratio","Wild Type (Ancestral/Wu-1); Alpha (B.1.1.7); Delta (B.1.617.2); Omicron (B.1.1.529/BA.1)","median","72.0","IQR","62.0-79.7","median","69.5","IQR","53.4-82.0","58.1","55.3"
71402,"Salvatore 2023","Peer-reviewed","Cancer Epidemiology, Biomarkers & Prevention","Electronic health record data from Michigan Medicine (University of Michigan, Ann Arbor, MI)","2022-04","Retrospective","Cohort","USA","2020-03-10","2022-02-02","44410","COVID-19 related hospitalization, ICU admission, all-cause mortality, composite severe COVID (union of first three outcomes)","N/A","6143","38267","yes","Hospitalisation; ICU admission; Mortality; Other: Composite outcome: covid-19 hospitalization, ICU admission, all-cause mortality","Bladder, Breast, Colorectal, Kidney, Lung, Melanoma, Prostate and Haematological Cancers; diagnosed within the last 3 years; proportion on active treatment ","Composite score of covid-19 hospitalization, ICU admission, all-cause mortality","unit (ICU) admission, mortality ","% of those admitted to ICU","60 day mortality; all-cause","multivariate","Age; Sex; Comorbidities; Other: Neighborhood disadvantage index ","Those testing positive for COVID-19 and did not have cancer from the same electronic health record data from a large academic healthcare system (Michigan Medicine)","No Matching","Not mentioned","","","","","","","","","",""
71915,"Leuva 2022","Peer-reviewed","Seminars in Oncology","A COVID-19 Shared Data Resource (CSDR) data using the Veterans Administration Informatics and Computing Infrastructure (VINCI).","2022-07","Prospective","Cohort","USA"," 2020-12-14","2022-01-25 ","21,051","Death within 60 days in the Covid Infected, COVID infection rate","","10355","10696","yes","Mortality; Other: Covid-19 infection","All Types Cancer; Veterans with an active diagnosis of new or previously established cancer in the 2 years preceding the index date; active treatment not stated","","","","60 day mortality; all-cause ","univariate; multivariate","Age; Sex; Comorbidities; Other: age, gender, race, BMI, smoking, rurality of normal residence, Elixhauser index and time during the pandemic","Yes - Gender, Comorbidity and age matched - see supplementary table 2 157,072 Cancer: 157,072 Control - 1:1 Matching","Matched; 1:1; age, sex, comorbidity","Not mentioned","Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 72 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 67-76 (vaccinated)","Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 73 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 68-77(vaccinated)","94% (not vaccinated), 95%(vaccinated)","94% (not vaccinated), 95% (vaccinated)"
73383,"Hosseini-Moghaddam 2023","Peer-reviewed","JAMA Network Open","COVID-19 Integrated Testing Database; Ontario Registered Persons Database; Canadian Institute for Health Information's Discharge Abstract Database.","2023-08","Retrospective","Cohort","Canada","2020-01-01","2021-12-31","464574","COVID-19 infection positivity.","Hospitalisation, ICU admission and mortality.","8378","456196","yes","Hospitalisation; ICU admission; Mortality","All Types Cancer; active treatment in last 6 months or diagnosis in OCR within past year before index ","","","21-day ICU admission","28-day mortality; covid-19 specific mortality  ","univariate; multivariate; Other: Crude","Age; Sex; Comorbidities; Other: Past healthcare utilisation, income, rurality, PHU region, Ontario Marginalisation Index, 2016 Canada census variables.","Drawn from same national cohort. ","No Matching; ratio cancer:non cancer 8378:456196","Not mentioned","Mean","59.61","SD","18.05","Mean","45.95","SD","18.24","40.6","48.96"
141132,"Sullivan 2023","Peer-reviewed","Breast Cancer Research and Treatment","Optum de-identified C-19 Electronic Health Record dataset (2007-2022)","2024-04","Retrospective","Cohort","United States","2020-01-01","2021-12-20","26400","Mortality","Mechanical ventilation, ICU stay, hospitalization within 30 days ","2200","22000","yes","Severity; Hospitalisation; ICU admission; Mortality","For  patients with BC, we used the International Classification of  Diseases 9th and 10th Revision (ICD-9 and ICD-10) diagnosis codes to identify those who had 2 or more BC diagnosis codes that were at least 30 days apart within 1 year before C-19 diagnosis date (n=5571)","","Mechanical ventilation using HCPCS codes or ICD-10 procedure codes","ICU stay was defined as hospitalization in an ICU without mechanical ventilation","30-day mortality. Death data were obtained from the Social Security Administration Death Master File, including month and year of death; therefore, date of death was set as the 15th of the month.","multivariate","Age; Comorbidities; Other: race and ethnicity, Severe obesity, Charles-Deyo Comorbidity Index score, recent skilled scaled nursing facility stay, insurance type and region","Same cohort","We matched (1:1:10) patients with BC and controls with- out cancer based on age, comorbidity score, and date of C-19 diagnosis: Group 1 included patients with BC and recent cancer treatment (referred to as BC recently treated); Group 2 included patients with BC and no recent treatment (BC not recently treated); Group 3 included patients without cancer (non-cancer controls)","Not mentioned","Median","65","IQR","55-74","Median","65","IQR","55-74","0","0"
71512,"Nolan 2023","Peer-reviewed","CANCER EPIDEMIOLOGY, BIOMARKERS & PREVENTION","COVID EHR Cohort","2023-01","Retrospective","Cohort","USA","2020-02-01","2021-09-30","104590","in-hospital mortality and ICU admission","","7141","90700","yes","ICU admission; Mortality","All Types Cancer; Any ICD-10 cancer diagnosis recorded during the index COVID-19 hospitalisation; Active treatment not stated.","","","icu admission","In-hospital mortality (no further definition stated)","multivariate","Age; Sex; Comorbidities; Other: BMI","same databases","No matching","Not mentioned","","","","","","","","","55.0","49.2"
74954,"Kodde 2023","Peer-reviewed","Infection","QlikView","2022-06-03","Retrospective","Cohort","Germany","2020-01","2021-08","36726","Mortality, mechanical ventilation","","1625","27659","no","Severity; Mortality","The cancer cohort was defined by the presence of any of the three related Elixhauser comorbidities (lymphoma, meta- static cancer, solid tumor).","Mechanical ventilation","","Not specified","In-hospital mortality; cause undefined","univariate; multivariate","Age; Sex; Comorbidities; Other: comorbidities: Elixhauser index","Same hospital group","No matching","Not mentioned","Mean","72.2","SD","11.8","Mean","68.0","SD","17.6","58.2","52.1"
68513,"Udovica 2022","Peer-reviewed","Magazine of European medical oncology ","","2022-05","Retrospective","Cohort","Austria ","2020/03/01","2021/03/31","245","covid-19 specific in hospital mortality ","","89","156","no","Mortality","Pa- tients with active malignancy were defined through one of the following criteria: (1) diagnosis of any histologically proven malignant disease within the last 6 months (excluding basalioma), (2) receiving treatment for a malignant condition within the last 6 months, (3) metastatic or recurrent malignant disease.","","","","Covid-19 specific in-hospital mortality defined as death during a COVID-19 infection requiring at least supplemental oxygen ≥6 l/min; or with signs of pulmonary manifestations of COVID-19 on chest X-ray; or death in an ICU due to respiratory or multiorgan failure. ","univariate; multivariate; Other: Crude","Age; Comorbidities; Other: ECOG performance status","Same country but different hospital   This was a 12-month retrospective analysis of 245 consecutive patients admitted for severe COVID-19 at four different COVID-19 units in four different oncologic departments in Austria. The noncancer control group consisted of patients admitted at the Department of Medicine I at the Clinic Ottakring in Vienna for severe COVID-19 but had no history of cancer within the last 5 years","Matched; ratio cancer to noncancer 89:156; age, gender, comorbidity","Other: participants were not tested for strain but paper includes: "" Of note, our study was performed between March 2020 and March 2021. In that period the SARS-CoV-2 back- ground strain and the SARS-CoV-2 alpha variant were the most commonly observed variants and vaccines were not available.""","median ","74","range ","51-95","median ","76","range ","26-97","50.6","54.6"
75567,"Bazgir 2022","Peer-reviewed","International Journal of Cancer Management","all patients with COVID-19 who were admitted to the hospital were eligible for enrolment into the Ilam COVID-19 monitoring and evaluation project (Ilam-CEMP). The Ilam-CEMP is one of the first registries in the country (Iran) that enables near real-time monitoring of essential data and trends about the effect of COVID-19 on patients","2022-10","Retrospective","Cohort","Iran","2020-03-05","2021-03-21","320","This study’s primary outcome was in-hospital mortality or discharge from the hospital.","","64","256","no","ICU admission; Mortality","All types cancer; active cancer = receiving treatments for cancer such as adjuvant, radical, cura-tve, neo-adjuvant settings, or chemotherapy within the past two months. ","","","","No definition stated.","univariate; multivariate","Age; Sex","At the same time, 256 controls matched cases by age, gender, and without a history of cancer were randomly selected from the same registry dataset.","Matched; 64:256; age, gender, co-morbidities.","Not mentioned","Mean","63.9","SD","2.5","Mean","62.1","SD","0.8","53.1","52.7"
